GAME_ID,PLAYER_ID,START_POSITION,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_NAME,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
21900805,1628401,,1610612759,SAS,San Antonio,Derrick White,,27:54,6.0,9.0,0.667,1.0,2.0,0.5,4.0,4.0,1.0,0.0,4.0,4.0,8.0,1.0,1.0,3.0,1.0,17.0,12.0
21900805,201988,,1610612759,SAS,San Antonio,Patty Mills,,27:54,7.0,13.0,0.5379999999999999,3.0,8.0,0.375,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,8.0
21900805,201158,,1610612759,SAS,San Antonio,Marco Belinelli,,15:32,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0
21900805,200752,,1610612759,SAS,San Antonio,Rudy Gay,,17:19,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,1.0,0.0,4.0,10.0
21900805,1627751,,1610612759,SAS,San Antonio,Jakob Poeltl,,9:18,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,2.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,-1.0
21900805,1629640,,1610612759,SAS,San Antonio,Keldon Johnson,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
21900805,1629002,,1610612759,SAS,San Antonio,Chimezie Metu,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
21900805,1629683,,1610612759,SAS,San Antonio,Quinndary Weatherspoon,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
21900799,1629022,F,1610612759,SAS,San Antonio,Lonnie Walker IV,,26:52,2.0,6.0,0.33299999999999996,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,5.0,4.0,2.0,0.0,2.0,3.0,4.0,11.0
21900799,200746,F,1610612759,SAS,San Antonio,LaMarcus Aldridge,,35:04,13.0,25.0,0.52,4.0,8.0,0.5,3.0,5.0,0.6,2.0,4.0,6.0,5.0,1.0,0.0,3.0,4.0,33.0,8.0
21900799,1626168,C,1610612759,SAS,San Antonio,Trey Lyles,,28:34,4.0,5.0,0.8,2.0,2.0,1.0,0.0,0.0,0.0,1.0,6.0,7.0,1.0,1.0,1.0,2.0,0.0,10.0,7.0
21900799,1627749,G,1610612759,SAS,San Antonio,Dejounte Murray,,33:39,5.0,11.0,0.455,1.0,2.0,0.5,3.0,3.0,1.0,1.0,5.0,6.0,9.0,1.0,0.0,0.0,2.0,14.0,8.0
21900799,1627854,G,1610612759,SAS,San Antonio,Bryn Forbes,,28:37,4.0,6.0,0.667,3.0,4.0,0.75,3.0,3.0,1.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,14.0,5.0
21900799,201988,,1610612759,SAS,San Antonio,Patty Mills,,17:32,4.0,7.0,0.5710000000000001,3.0,6.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,11.0,-16.0
21900799,1628401,,1610612759,SAS,San Antonio,Derrick White,,18:39,2.0,10.0,0.2,1.0,4.0,0.25,10.0,10.0,1.0,0.0,2.0,2.0,4.0,0.0,0.0,1.0,3.0,15.0,-13.0
21900799,1627751,,1610612759,SAS,San Antonio,Jakob Poeltl,,15:44,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,6.0,-8.0
21900799,201158,,1610612759,SAS,San Antonio,Marco Belinelli,,18:48,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,-18.0
21900799,200752,,1610612759,SAS,San Antonio,Rudy Gay,,16:31,4.0,9.0,0.444,2.0,3.0,0.667,3.0,3.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,13.0,-19.0
21900799,201942,,1610612759,SAS,San Antonio,DeMar DeRozan,DNP - Injury/Illness                    ,,,,,,,,,,,,,,,,,,,,
21900799,1629640,,1610612759,SAS,San Antonio,Keldon Johnson,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
21900799,1629002,,1610612759,SAS,San Antonio,Chimezie Metu,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
21900785,201942,F,1610612759,SAS,San Antonio,DeMar DeRozan,,29:43,5.0,10.0,0.5,0.0,0.0,0.0,4.0,5.0,0.8,0.0,3.0,3.0,6.0,0.0,0.0,3.0,5.0,14.0,9.0
